,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temp.,Wind Speed
373,Pandan,5,PH,1586552790,75,14.05,124.17,80.22,5.46
374,Dekar,100,BW,1586552791,58,-21.53,21.93,65.39,3.91
375,Mehamn,100,NO,1586552585,91,71.04,27.85,25.7,16.17
376,Bakel,0,SN,1586552794,12,14.9,-12.46,85.91,1.14
377,Tura,0,IN,1586552795,36,25.52,90.22,71.89,3.87
378,Conde,20,BR,1586552796,83,-7.26,-34.91,82.4,9.17
379,Edgewater,75,US,1586552661,56,28.99,-80.9,77.4,11.41
380,Labuhan,35,ID,1586552798,85,-6.88,112.21,78.01,3.53
381,Nahrin,100,AF,1586552800,34,36.06,69.13,56.43,0.78
382,Zhigansk,0,RU,1586552801,94,66.77,123.37,19.54,11.48
383,Tiruchchendur,0,IN,1586552802,75,8.48,78.12,82.76,9.1
384,Vitry-le-François,33,FR,1586552803,58,48.73,4.58,58.15,4.7
385,Sinop Province,0,TR,1586552804,52,41.77,34.87,41.23,3.69
386,Faya,95,SA,1586552807,72,18.39,42.45,66.2,5.82
387,Kokopo,100,PG,1586552808,78,-4.35,152.26,79.21,2.35
388,Passagem Franca,93,BR,1586552809,81,-6.18,-43.78,77.74,1.74
389,Sulangan,30,PH,1586552810,75,11.14,123.72,79.48,12.08
390,Tahara,40,JP,1586552811,61,34.67,137.27,43.09,19.46
391,Sola,91,VU,1586552813,78,-13.88,167.55,79.81,17.0
392,Aklavik,75,CA,1586552814,44,68.22,-135.01,21.2,9.17
393,Buchanan,12,LR,1586552815,84,5.88,-10.05,79.83,5.66
394,Turaif,0,SA,1586552816,87,31.67,38.66,50.0,10.29
395,Kununurra,92,AU,1586552817,88,-15.77,128.73,69.8,6.93
396,Yar-Sale,39,RU,1586552818,90,66.83,70.83,13.24,9.64
397,Kangaatsiaq,12,GL,1586552819,89,68.31,-53.46,33.01,10.0
398,Aguié,100,NE,1586552821,13,13.51,7.78,88.75,6.89
399,Margate,53,GB,1586552707,93,51.38,1.39,52.59,1.12
400,Feodosiya,26,UA,1586552823,62,45.03,35.38,53.26,13.67
401,Petropavlovsk-Kamchatskiy,42,RU,1586552824,86,53.05,158.65,26.6,2.24
402,Pozo Colorado,0,PY,1586552825,36,-23.49,-58.8,77.0,4.09
403,Husavik,75,IS,1586552826,90,66.04,-17.34,32.0,2.24
404,Talnakh,40,RU,1586552657,92,69.49,88.4,23.0,26.84
405,Glendive,20,US,1586552829,23,47.11,-104.71,54.16,8.05
406,Rosetta,40,EG,1586552830,77,31.4,30.42,60.8,11.41
407,Jejūri,50,IN,1586552831,28,18.28,74.17,80.83,2.53
408,Geraldton,0,AU,1586552637,77,-28.77,114.6,66.2,8.05
409,Souillac,40,MU,1586552833,78,-20.52,57.52,78.44,12.75
410,Namatanai,100,PG,1586552834,76,-3.67,152.43,81.37,5.26
411,Marabba,100,SD,1586552836,11,12.35,32.18,87.48,11.32
412,Vila Velha,90,BR,1586552776,83,-20.33,-40.29,74.57,4.7
413,Tingi,14,TZ,1586552839,66,-11.3,35.03,61.81,3.31
414,Koson,40,UZ,1586552840,87,39.04,65.58,51.8,6.93
415,Nortelândia,63,BR,1586552841,73,-14.45,-56.8,80.31,4.54
416,Podosinovets,60,RU,1586552842,97,60.28,47.07,25.34,5.28
417,Tianpeng,40,CN,1586552844,100,30.99,103.94,61.59,6.71
418,Englewood,75,US,1586552811,15,39.65,-104.99,68.38,12.75
419,Strezhevoy,66,RU,1586552846,68,60.73,77.59,30.2,8.95
420,Kilindoni,34,TZ,1586552847,79,-7.91,39.67,83.79,21.45
421,Nanzhang,100,CN,1586552848,79,31.78,111.84,44.69,9.48
422,Iquique,27,CL,1586552850,56,-20.22,-70.14,73.4,17.22
423,São João da Barra,90,BR,1586552851,73,-21.64,-41.05,76.1,5.82
424,Port-Gentil,64,GA,1586552852,85,-0.72,8.78,81.97,10.25
425,‘Ewa Beach,75,US,1586552853,73,21.32,-158.01,76.84,5.82
426,Lamu,99,KE,1586552854,82,-2.27,40.9,82.0,12.41
427,Pasān,2,IN,1586552855,18,22.85,82.2,73.98,3.71
428,Carutapera,58,BR,1586552857,80,-1.2,-46.02,81.57,9.98
429,Hvolsvollur,100,IS,1586552858,91,63.75,-20.22,37.99,15.01
430,Pacific Grove,1,US,1586552859,67,36.62,-121.92,61.99,12.75
431,Bubaque,43,GW,1586552860,77,11.28,-15.83,78.6,16.51
432,Sevierville,1,US,1586552861,24,35.87,-83.56,54.16,5.82
433,Provincia di Ravenna,0,IT,1586552862,41,44.42,11.98,57.36,2.24
434,Nipawin,90,CA,1586552863,60,53.37,-104.0,39.2,18.34
435,Hailey,5,US,1586552865,41,43.52,-114.32,60.8,10.29
436,Ozinki,0,RU,1586552866,60,51.18,49.68,41.79,12.44
437,Harper,7,LR,1586552867,81,4.38,-7.72,81.5,6.82
438,Anderson,1,US,1586552868,12,34.53,-82.65,63.23,14.99
439,Bar Harbor,90,US,1586552869,86,44.39,-68.2,35.24,9.17
440,Richards Bay,44,ZA,1586552870,76,-28.78,32.04,72.91,19.01
441,Sibolga,99,ID,1586552872,81,1.74,98.78,76.91,3.74
442,Aripuanã,97,BR,1586552873,88,-9.17,-60.63,80.44,0.69
443,Mergen,0,CN,1586552874,75,49.18,125.22,36.86,6.78
444,Moyale,59,KE,1586552875,52,3.52,39.06,71.71,3.87
445,Tottori-shi,97,JP,1586552876,65,35.5,134.23,43.38,3.8
446,Juba,100,SS,1586552880,39,4.85,31.58,87.37,5.14
447,Deputatsky,82,RU,1586552881,91,69.3,139.9,16.52,8.25
448,Leningradskiy,0,RU,1586552882,84,69.38,178.42,2.8,7.63
449,Vallenar,0,CL,1586552883,35,-28.57,-70.76,75.52,8.25
450,Cayenne,75,GF,1586552679,78,4.93,-52.33,82.4,8.05
451,Stranda,75,NO,1586552885,86,62.31,6.94,36.95,9.17
452,Dakar,0,SN,1586552886,73,14.69,-17.44,77.43,6.93
453,Gizo Government Station,54,SB,1586552888,80,-8.1,156.84,81.86,8.16
454,Obsharovka,100,RU,1586552889,55,53.12,48.85,45.99,14.83
455,Tres Arroyos,0,AR,1586552890,47,-38.37,-60.28,66.67,9.57
456,Khovd,100,MN,1586552891,34,48.01,91.64,42.17,3.06
457,Pisz,31,PL,1586552892,70,53.63,21.81,37.98,4.97
458,Lichuan,100,CN,1586552894,66,30.3,108.85,49.08,3.49
459,Carbonia,0,IT,1586552895,81,39.17,8.52,53.6,3.36
460,Bac Lieu,98,VN,1586552896,78,9.29,105.72,80.33,9.08
461,Kidal,100,ML,1586552897,18,18.44,1.41,88.56,7.45
462,Payo,100,ID,1586552898,90,-3.75,103.64,74.1,0.67
463,Dassun,54,PH,1586552900,86,17.72,121.68,72.81,0.49
464,Hofn,100,IS,1586552901,86,64.25,-15.21,40.42,10.85
465,Palmer,90,US,1586552902,49,42.16,-72.33,44.02,18.34
466,Miandrivazo,78,MG,1586552903,63,-19.52,45.47,79.81,3.4
467,Buala,4,SB,1586552905,76,-8.14,159.59,82.85,5.93
468,Karakol,43,KG,1586552906,32,42.49,78.39,39.92,4.25
469,Bonavista,100,CA,1586552907,84,48.65,-53.11,36.0,5.99
470,Kampot,100,KH,1586552908,81,10.62,104.18,79.74,5.28
471,Grumo Appula,5,IT,1586552854,43,41.01,16.71,53.78,2.24
472,Kuala Lipis,94,MY,1586552911,81,4.18,102.05,72.55,0.56
473,Ardahan,100,TR,1586552912,48,41.11,42.7,33.87,4.41
474,Arlit,100,NE,1586552913,10,18.74,7.39,89.19,8.05
475,Chapais,20,CA,1586552914,32,49.78,-74.85,41.0,14.99
476,Isangel,20,VU,1586552916,94,-19.55,169.27,71.6,8.77
477,Huambo,100,AO,1586552692,57,-12.78,15.74,62.08,3.56
478,Hay River,90,CA,1586552918,73,60.82,-115.8,21.2,16.11
479,Wuda,0,CN,1586552919,38,39.5,106.71,38.12,2.68
480,Kushima,93,JP,1586552920,66,31.46,131.23,51.01,8.01
481,Beyneu,55,KZ,1586552922,57,45.32,55.2,46.13,15.99
482,Tacuarembó,76,UY,1586552923,54,-31.73,-55.98,67.53,5.23
483,Winfield,1,US,1586552786,31,37.24,-97.0,61.47,6.93
484,Sarkand,2,KZ,1586552925,51,45.41,79.92,36.36,2.37
485,Ginda,0,IN,1586552926,29,30.69,78.49,49.55,7.54
486,Shitanjing,0,CN,1586552706,36,39.23,106.34,35.51,2.13
487,Tromsø,90,NO,1586552928,86,69.65,18.96,27.59,21.92
488,Usagara,75,TZ,1586552930,83,-2.68,33.0,69.8,6.93
489,Walvis Bay,0,NA,1586552931,84,-22.96,14.51,64.0,6.2
490,Sechura,63,PE,1586552932,66,-5.56,-80.82,78.15,12.8
491,Adrar,0,MR,1586552933,11,20.5,-10.07,85.15,9.89
492,Kudahuvadhoo,4,MV,1586552935,66,2.67,72.89,84.06,1.77
493,Pundaguitan,58,PH,1586552936,79,6.37,126.17,79.5,13.29
494,Hammerfest,100,NO,1586552872,100,70.66,23.68,24.8,10.54
495,Auch,0,FR,1586552939,62,43.65,0.58,58.39,5.82
496,Aguadilla,1,PR,1586552940,72,18.43,-67.15,84.33,8.05
497,Leninsk,9,RU,1586552941,56,48.71,45.2,41.0,8.95
498,Hamilton,40,US,1586552853,39,39.18,-84.53,47.53,14.99
499,São Miguel do Araguaia,14,BR,1586552943,75,-13.28,-50.16,79.9,2.35
500,Paamiut,100,GL,1586552682,74,61.99,-49.67,38.26,7.09
501,Kamaishi,3,JP,1586552947,76,39.27,141.88,37.31,6.64
502,Urengoy,100,RU,1586552948,97,65.97,78.37,33.71,6.11
503,Laguna,90,US,1586552949,59,38.42,-121.42,65.97,10.29
504,Bashtanka,0,UA,1586552845,54,47.41,32.44,46.62,12.68
505,Tegul'det,100,RU,1586552952,90,57.31,88.17,32.99,7.05
506,Sāveh,89,IR,1586552953,58,35.02,50.36,49.21,2.75
507,Karratha,10,AU,1586552954,62,-20.74,116.85,80.47,8.14
508,Neiafu,30,TO,1586552955,66,-18.65,-173.98,77.72,9.17
509,Alegrete,7,BR,1586552956,52,-29.78,-55.79,68.34,6.4
510,Auki,40,SB,1586552958,76,-8.77,160.7,81.93,4.72
511,Marathon,40,US,1586552959,38,44.9,-89.77,44.46,14.99
512,Araouane,0,ML,1586552911,10,18.9,-3.53,87.06,5.79
513,Hambantota,5,LK,1586552963,80,6.12,81.12,80.55,9.89
514,Porto-Novo,20,BJ,1586552964,83,6.5,2.6,82.4,8.05
515,Puerto Baquerizo Moreno,75,EC,1586552965,79,-0.9,-89.6,84.2,8.05
516,Wundanyi,59,KE,1586552966,71,-3.4,38.36,62.33,4.5
517,Debre Tabor,100,ET,1586552967,39,11.85,38.02,58.19,2.77
518,Umluj,0,SA,1586552968,41,25.02,37.27,70.92,11.74
519,Sitka,1,US,1586552970,48,57.05,-135.33,44.06,6.93
520,Phetchaburi,94,TH,1586552971,79,12.97,99.58,75.49,2.95
521,Chuka,81,KE,1586552972,60,-0.33,37.65,62.85,2.21
522,Santa Isabel Rio Negro,100,BR,1586552973,90,-0.41,-65.02,77.11,1.3
523,Havøysund,100,NO,1586552975,100,71.0,24.66,24.8,14.76
524,Nangong,0,CN,1586552707,68,37.36,115.37,40.15,5.99
525,Alcamo,0,IT,1586552977,93,38.0,12.96,54.12,2.24
526,Shahr-e Bābak,99,IR,1586552979,24,30.12,55.12,62.67,15.55
527,Bulgan,0,MN,1586552980,36,48.81,103.53,40.06,2.77
528,Xining,1,CN,1586552981,30,36.62,101.77,32.2,0.94
529,Ihosy,38,MG,1586552983,72,-22.4,46.12,65.25,10.6
530,Kozova,31,UA,1586552984,60,49.44,25.15,39.2,2.66
531,Rincon,40,US,1586552956,17,32.3,-81.24,70.5,14.99
532,Udala,75,ES,1586552986,82,43.08,-2.51,59.79,3.36
533,Guerrero Negro,14,MX,1586552898,53,27.98,-114.06,66.06,17.9
534,Banjarmasin,90,ID,1586552988,94,-3.32,114.59,78.8,5.82
535,Mackay,97,AU,1586552990,94,-21.15,149.2,71.13,4.7
536,Yonago,40,JP,1586552991,93,35.43,133.33,37.4,3.36
537,Marietta,20,US,1586552856,21,33.95,-84.55,60.12,13.87
538,Hurghada,0,EG,1586552981,37,27.26,33.81,69.8,8.05
539,Grand Island,1,US,1586552744,22,40.92,-98.34,56.14,20.8
540,Kirakira,50,SB,1586552995,74,-10.45,161.92,81.3,5.23
541,Bairiki Village,40,KI,1586552997,83,1.33,172.98,84.2,12.75
542,Launceston,75,AU,1586552998,81,-41.45,147.17,49.21,12.75
543,Narrabri,90,AU,1586552981,87,-30.32,149.78,58.57,9.17
544,San-Pédro,51,CI,1586553000,82,4.75,-6.64,80.74,6.96
545,Sumbe,11,AO,1586553002,85,-11.21,13.84,77.92,3.13
546,Liverpool,100,GB,1586553003,77,53.41,-2.98,60.57,5.82
547,Ilhéus,75,BR,1586553004,83,-14.79,-39.05,82.4,5.82
548,Vardø,100,NO,1586553005,90,70.37,31.11,28.89,16.69
549,Maţāy,0,EG,1586553006,39,28.42,30.78,63.39,5.79
550,Anadyr,0,RU,1586553008,83,64.75,177.48,-7.26,4.47
551,Vung Tau,74,VN,1586553009,80,10.35,107.08,80.47,12.95
552,Guane,21,CU,1586553010,49,22.2,-84.09,88.83,10.65
553,Evensk,0,RU,1586553011,87,61.95,159.23,8.44,4.88
554,Esim,89,GH,1586553014,80,4.87,-2.24,82.08,5.08
555,Yukuhashi,40,JP,1586553015,70,33.73,130.98,45.91,4.7
556,Raudeberg,0,NO,1586553016,86,61.99,5.14,39.74,8.05
557,Libertador General San Martín,20,AR,1586553017,40,-23.81,-64.79,74.35,3.83
558,Isfana,75,KG,1586552433,35,39.84,69.53,55.4,11.18
559,Juruti,46,BR,1586553020,74,-2.15,-56.09,85.59,2.91
560,Florida,75,US,1586553023,47,28.75,-82.5,81.05,5.82
561,Kallithea,0,GR,1586553024,47,37.95,23.7,56.95,8.34
562,Moscow,0,RU,1586552801,86,55.75,37.62,36.09,4.47
563,High Level,75,CA,1586552945,46,58.52,-117.14,28.4,18.34
564,Oulu,20,FI,1586553028,90,65.0,27.0,27.0,4.14
565,Laguna de Perlas,40,NI,1586553029,66,12.34,-83.67,87.8,4.7
566,Ocós,5,GT,1586553030,49,14.51,-92.19,94.06,11.41
567,Kloulklubed,75,PW,1586553033,88,7.04,134.26,77.0,4.7
568,Ormara,0,PK,1586553035,70,25.21,64.64,78.21,6.53
